id,name,ingredients,instructions,calories,protein,carbs,fats,cuisine,cooking_time,difficulty,image
291,Pancakes Type 29 Variation 291,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,536,37,14,26,International,20,Easy,https://example.com/images/recipe_291.jpg
292,Upma Type 29 Variation 292,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",615,29,49,27,Indian,24,Hard,https://example.com/images/recipe_292.jpg
293,Poha Type 29 Variation 293,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",467,25,40,18,Indian,14,Easy,https://example.com/images/recipe_293.jpg
294,Upma Type 29 Variation 294,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",269,24,24,6,Indian,28,Easy,https://example.com/images/recipe_294.jpg
295,Greek Yogurt Parfait Type 29 Variation 295,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",576,19,37,36,International,53,Easy,https://example.com/images/recipe_295.jpg
296,Lentil Soup (Dal) Type 29 Variation 296,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",399,28,32,28,Indian,20,Easy,https://example.com/images/recipe_296.jpg
297,Masala Omelette Type 29 Variation 297,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",441,21,38,16,Indian,45,Medium,https://example.com/images/recipe_297.jpg
298,Avocado Toast Type 29 Variation 298,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",555,23,33,25,International,52,Easy,https://example.com/images/recipe_298.jpg
299,Masala Omelette Type 29 Variation 299,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",659,28,33,38,Indian,24,Medium,https://example.com/images/recipe_299.jpg
300,Upma Type 30 Variation 300,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",592,24,38,26,Indian,42,Hard,https://example.com/images/recipe_300.jpg
301,Idli Sambhar Type 30 Variation 301,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,537,22,67,20,Indian,23,Medium,https://example.com/images/recipe_301.jpg
302,Butter Chicken Type 30 Variation 302,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",296,19,28,5,Indian,29,Medium,https://example.com/images/recipe_302.jpg
303,Greek Yogurt Parfait Type 30 Variation 303,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",680,23,46,31,International,46,Hard,https://example.com/images/recipe_303.jpg
304,Paneer Butter Masala Type 30 Variation 304,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",534,27,57,29,Indian,15,Easy,https://example.com/images/recipe_304.jpg
305,Beef Stir-Fry Type 30 Variation 305,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,419,31,64,16,International,10,Easy,https://example.com/images/recipe_305.jpg
306,Masala Omelette Type 30 Variation 306,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",592,29,31,22,Indian,38,Easy,https://example.com/images/recipe_306.jpg
307,Chia Pudding Type 30 Variation 307,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,404,51,19,27,International,38,Medium,https://example.com/images/recipe_307.jpg
308,Quinoa Salad Type 30 Variation 308,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,221,21,29,11,International,56,Easy,https://example.com/images/recipe_308.jpg
309,Idli Sambhar Type 30 Variation 309,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,489,18,37,24,Indian,47,Hard,https://example.com/images/recipe_309.jpg
310,Pancakes Type 31 Variation 310,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,641,33,33,40,International,12,Easy,https://example.com/images/recipe_310.jpg
311,Masala Omelette Type 31 Variation 311,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",600,24,48,26,Indian,15,Easy,https://example.com/images/recipe_311.jpg
312,Pancakes Type 31 Variation 312,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,692,18,52,17,International,57,Medium,https://example.com/images/recipe_312.jpg
313,Idli Sambhar Type 31 Variation 313,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,259,22,18,9,Indian,51,Medium,https://example.com/images/recipe_313.jpg
314,Quinoa Salad Type 31 Variation 314,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,489,59,31,24,International,30,Easy,https://example.com/images/recipe_314.jpg
315,Palak Paneer Type 31 Variation 315,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",426,25,47,21,Indian,18,Easy,https://example.com/images/recipe_315.jpg
316,Chickpea Curry Type 31 Variation 316,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",225,25,10,11,Indian,43,Hard,https://example.com/images/recipe_316.jpg
317,Avocado Toast Type 31 Variation 317,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",646,15,47,23,International,43,Medium,https://example.com/images/recipe_317.jpg
318,Avocado Toast Type 31 Variation 318,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",652,32,46,27,International,17,Easy,https://example.com/images/recipe_318.jpg
319,Masala Omelette Type 31 Variation 319,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",152,20,15,12,Indian,48,Easy,https://example.com/images/recipe_319.jpg
320,Avocado Toast Type 32 Variation 320,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",190,25,30,11,International,16,Easy,https://example.com/images/recipe_320.jpg
321,Dhokla Type 32 Variation 321,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,165,10,25,11,Indian,37,Medium,https://example.com/images/recipe_321.jpg
322,Masala Omelette Type 32 Variation 322,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",361,31,70,15,Indian,11,Easy,https://example.com/images/recipe_322.jpg
323,Idli Sambhar Type 32 Variation 323,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,328,33,62,31,Indian,24,Medium,https://example.com/images/recipe_323.jpg
324,Pancakes Type 32 Variation 324,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,566,59,33,24,International,31,Hard,https://example.com/images/recipe_324.jpg
325,Masala Omelette Type 32 Variation 325,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",480,27,70,40,Indian,46,Easy,https://example.com/images/recipe_325.jpg
326,Guacamole and Chips Type 32 Variation 326,"avocados, onion, lime, tortilla chips",Mash avocado and serve with corn chips.,148,9,24,10,International,19,Easy,https://example.com/images/recipe_326.jpg
327,Poha Type 32 Variation 327,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",423,27,63,17,Indian,55,Hard,https://example.com/images/recipe_327.jpg
328,Idli Sambhar Type 32 Variation 328,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,388,23,38,19,Indian,37,Medium,https://example.com/images/recipe_328.jpg
329,Paneer Butter Masala Type 32 Variation 329,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",334,23,30,12,Indian,60,Hard,https://example.com/images/recipe_329.jpg
330,Poha Type 33 Variation 330,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",515,53,27,17,Indian,60,Easy,https://example.com/images/recipe_330.jpg
331,Chickpea Curry Type 33 Variation 331,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",448,23,58,21,Indian,21,Hard,https://example.com/images/recipe_331.jpg
332,Upma Type 33 Variation 332,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",592,32,67,29,Indian,37,Easy,https://example.com/images/recipe_332.jpg
333,Upma Type 33 Variation 333,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",590,59,38,21,Indian,17,Easy,https://example.com/images/recipe_333.jpg
334,Chickpea Curry Type 33 Variation 334,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",433,27,67,31,Indian,21,Medium,https://example.com/images/recipe_334.jpg
335,Vegetable Tacos Type 33 Variation 335,"corn tortillas, black beans, corn, avocado","Warm tortillas and fill with beans, corn, and toppings.",373,27,50,31,International,25,Hard,https://example.com/images/recipe_335.jpg
336,Hummus and Carrot Sticks Type 33 Variation 336,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,163,5,25,10,International,34,Medium,https://example.com/images/recipe_336.jpg
337,Palak Paneer Type 33 Variation 337,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",612,23,59,19,Indian,23,Hard,https://example.com/images/recipe_337.jpg
338,Stuffed Paratha Type 33 Variation 338,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,309,33,47,32,Indian,19,Easy,https://example.com/images/recipe_338.jpg
339,Upma Type 33 Variation 339,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",409,25,41,33,Indian,59,Easy,https://example.com/images/recipe_339.jpg
340,Oatmeal with Berries Type 34 Variation 340,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",188,25,30,10,International,26,Easy,https://example.com/images/recipe_340.jpg
341,Masala Omelette Type 34 Variation 341,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",393,19,33,22,Indian,42,Medium,https://example.com/images/recipe_341.jpg
342,Oatmeal with Berries Type 34 Variation 342,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",221,24,26,12,International,26,Easy,https://example.com/images/recipe_342.jpg
343,Hummus and Carrot Sticks Type 34 Variation 343,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,117,7,20,14,International,25,Medium,https://example.com/images/recipe_343.jpg
344,Masala Omelette Type 34 Variation 344,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",589,32,48,25,Indian,52,Easy,https://example.com/images/recipe_344.jpg
345,Chicken Tikka Masala Type 34 Variation 345,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",527,57,28,16,Indian,16,Easy,https://example.com/images/recipe_345.jpg
346,Beef Stir-Fry Type 34 Variation 346,"beef strips, broccoli, soy sauce, ginger",Flash fry beef and veggies in a hot wok with sauce.,408,27,66,19,International,24,Hard,https://example.com/images/recipe_346.jpg
347,Idli Sambhar Type 34 Variation 347,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,356,23,46,19,Indian,21,Easy,https://example.com/images/recipe_347.jpg
348,Chickpea Curry Type 34 Variation 348,"chickpeas, onion, garlic, ginger, tomatoes","Sauté aromatics, add spices and chickpeas, simmer until thick.",684,23,42,28,Indian,30,Medium,https://example.com/images/recipe_348.jpg
349,Dhokla Type 34 Variation 349,"gram flour, lemon, mustard seeds",Steam fermented batter and temper with mustard seeds.,168,7,17,7,Indian,33,Medium,https://example.com/images/recipe_349.jpg
350,Idli Sambhar Type 35 Variation 350,"rice, urad dal, lentils, tamarind, spices",Steam fermented batter and serve with lentil stew.,323,17,22,11,Indian,37,Medium,https://example.com/images/recipe_350.jpg
351,Avocado Toast Type 35 Variation 351,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",592,35,43,30,International,22,Easy,https://example.com/images/recipe_351.jpg
352,Masala Omelette Type 35 Variation 352,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",272,12,29,7,Indian,43,Easy,https://example.com/images/recipe_352.jpg
353,Quinoa Salad Type 35 Variation 353,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,529,38,29,30,International,16,Easy,https://example.com/images/recipe_353.jpg
354,Masala Omelette Type 35 Variation 354,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",531,15,43,19,Indian,22,Medium,https://example.com/images/recipe_354.jpg
355,Chicken Tikka Masala Type 35 Variation 355,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",446,53,15,26,Indian,45,Hard,https://example.com/images/recipe_355.jpg
356,Oatmeal with Berries Type 35 Variation 356,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",168,13,13,12,International,48,Easy,https://example.com/images/recipe_356.jpg
357,Chia Pudding Type 35 Variation 357,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,235,19,16,11,International,29,Medium,https://example.com/images/recipe_357.jpg
358,Chicken Tikka Masala Type 35 Variation 358,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",497,24,52,25,Indian,24,Easy,https://example.com/images/recipe_358.jpg
359,Lentil Soup (Dal) Type 35 Variation 359,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",360,23,54,32,Indian,26,Hard,https://example.com/images/recipe_359.jpg
360,Pancakes Type 36 Variation 360,"flour, milk, eggs, baking powder, syrup",Mix batter and cook circles on a griddle until bubbly.,549,48,16,18,International,33,Medium,https://example.com/images/recipe_360.jpg
361,Avocado Toast Type 36 Variation 361,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",434,35,51,24,International,48,Hard,https://example.com/images/recipe_361.jpg
362,Upma Type 36 Variation 362,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",252,14,12,8,Indian,38,Medium,https://example.com/images/recipe_362.jpg
363,Greek Yogurt Parfait Type 36 Variation 363,"greek yogurt, granola, strawberries","Layer yogurt, granola, and fruit in a glass.",313,22,18,5,International,15,Easy,https://example.com/images/recipe_363.jpg
364,Paneer Butter Masala Type 36 Variation 364,"paneer, tomato, butter, cream, onion","Heat oil. Add onions, tomatoes, and spices. Mix in paneer.",425,32,65,15,Indian,12,Easy,https://example.com/images/recipe_364.jpg
365,Palak Paneer Type 36 Variation 365,"spinach, paneer, garlic, cream","Blanch spinach, puree, and cook with paneer cubes.",591,29,49,21,Indian,17,Easy,https://example.com/images/recipe_365.jpg
366,Chicken Tikka Masala Type 36 Variation 366,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",248,14,24,11,Indian,36,Hard,https://example.com/images/recipe_366.jpg
367,Stuffed Paratha Type 36 Variation 367,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,531,51,27,21,Indian,46,Medium,https://example.com/images/recipe_367.jpg
368,Masala Omelette Type 36 Variation 368,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",499,15,51,26,Indian,39,Easy,https://example.com/images/recipe_368.jpg
369,Upma Type 36 Variation 369,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",166,21,27,12,Indian,44,Hard,https://example.com/images/recipe_369.jpg
370,Spaghetti Carbonara Type 37 Variation 370,"pasta, eggs, guanciale, pecorino cheese",Boil pasta. Mix egg and cheese. Toss with hot pasta and meat.,531,36,35,23,International,17,Easy,https://example.com/images/recipe_370.jpg
371,Stuffed Paratha Type 37 Variation 371,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,280,14,18,8,Indian,40,Hard,https://example.com/images/recipe_371.jpg
372,Butter Chicken Type 37 Variation 372,"chicken, butter, cream, tomato puree","Cook chicken in a rich, creamy tomato-based sauce.",429,31,68,25,Indian,11,Easy,https://example.com/images/recipe_372.jpg
373,Stuffed Paratha Type 37 Variation 373,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,435,20,63,15,Indian,50,Easy,https://example.com/images/recipe_373.jpg
374,Masala Omelette Type 37 Variation 374,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",543,31,62,34,Indian,37,Medium,https://example.com/images/recipe_374.jpg
375,Oatmeal with Berries Type 37 Variation 375,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",532,60,32,18,International,54,Easy,https://example.com/images/recipe_375.jpg
376,Bruschetta Type 37 Variation 376,"baguette, tomatoes, garlic, basil",Toast bread and top with chopped tomato mixture.,234,4,30,5,International,37,Medium,https://example.com/images/recipe_376.jpg
377,Samosa Type 37 Variation 377,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",232,2,18,12,Indian,16,Easy,https://example.com/images/recipe_377.jpg
378,Poha Type 37 Variation 378,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",472,15,56,21,Indian,27,Easy,https://example.com/images/recipe_378.jpg
379,Poha Type 37 Variation 379,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",205,22,29,12,Indian,25,Easy,https://example.com/images/recipe_379.jpg
380,Hummus and Carrot Sticks Type 38 Variation 380,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,210,9,19,14,International,17,Easy,https://example.com/images/recipe_380.jpg
381,Stuffed Paratha Type 38 Variation 381,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,478,21,56,16,Indian,59,Hard,https://example.com/images/recipe_381.jpg
382,Chicken Tikka Masala Type 38 Variation 382,"chicken, yogurt, tomato, garam masala","Marinate chicken, grill, and simmer in tomato gravy.",315,20,11,9,Indian,30,Medium,https://example.com/images/recipe_382.jpg
383,Masala Omelette Type 38 Variation 383,"eggs, onions, green chili, coriander","Whisk eggs with veggies, cook on a hot pan with oil.",584,24,54,37,Indian,18,Easy,https://example.com/images/recipe_383.jpg
384,Lentil Soup (Dal) Type 38 Variation 384,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",407,27,56,21,Indian,26,Medium,https://example.com/images/recipe_384.jpg
385,Avocado Toast Type 38 Variation 385,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",653,31,41,25,International,27,Easy,https://example.com/images/recipe_385.jpg
386,Stuffed Paratha Type 38 Variation 386,"whole wheat flour, potatoes/cauliflower, spices",Stuff dough with spiced filling and griddle with ghee.,431,18,38,16,Indian,52,Easy,https://example.com/images/recipe_386.jpg
387,Bhel Puri Type 38 Variation 387,"puffed rice, tamarind chutney, onions",Mix all ingredients together and serve immediately.,201,5,29,8,Indian,31,Medium,https://example.com/images/recipe_387.jpg
388,Samosa Type 38 Variation 388,"flour, potatoes, peas, spices","Fold pastry into triangles, fill, and deep fry.",210,3,30,10,Indian,23,Hard,https://example.com/images/recipe_388.jpg
389,Upma Type 38 Variation 389,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",310,14,24,11,Indian,16,Easy,https://example.com/images/recipe_389.jpg
390,Quinoa Salad Type 39 Variation 390,"quinoa, cucumber, bell pepper, lemon, olive oil",Cook quinoa and toss with chopped vegetables and dressing.,678,29,63,26,International,15,Easy,https://example.com/images/recipe_390.jpg
391,Oatmeal with Berries Type 39 Variation 391,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",369,21,44,34,International,22,Hard,https://example.com/images/recipe_391.jpg
392,Upma Type 39 Variation 392,"semolina, mustard seeds, vegetables, water","Roast semolina, sauté veggies, add water and cook until thick.",227,24,20,10,Indian,43,Medium,https://example.com/images/recipe_392.jpg
393,Poha Type 39 Variation 393,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",634,34,69,20,Indian,43,Hard,https://example.com/images/recipe_393.jpg
394,Lentil Soup (Dal) Type 39 Variation 394,"yellow lentils, turmeric, cumin, garlic","Boil lentils with turmeric, temper with spices in oil.",535,50,29,26,Indian,50,Medium,https://example.com/images/recipe_394.jpg
395,Hummus and Carrot Sticks Type 39 Variation 395,"chickpeas, tahini, lemon, carrots",Blend chickpeas with tahini and serve with carrots.,193,9,26,15,International,37,Easy,https://example.com/images/recipe_395.jpg
396,Avocado Toast Type 39 Variation 396,"bread, avocado, lemon juice, chili flakes","Toast bread, mash avocado with lemon, spread on toast.",424,30,56,25,International,16,Easy,https://example.com/images/recipe_396.jpg
397,Oatmeal with Berries Type 39 Variation 397,"oats, milk, blueberries, honey","Boil oats in milk, top with berries and honey.",510,20,66,35,International,20,Hard,https://example.com/images/recipe_397.jpg
398,Chia Pudding Type 39 Variation 398,"chia seeds, almond milk, vanilla extract",Mix ingredients and refrigerate overnight.,458,18,32,39,International,16,Easy,https://example.com/images/recipe_398.jpg
399,Poha Type 39 Variation 399,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",487,35,54,23,Indian,20,Easy,https://example.com/images/recipe_399.jpg
400,Poha Type 40 Variation 400,"flattened rice, onions, peanuts, curry leaves, turmeric","Sauté onions and spices, add soaked flattened rice and mix.",625,34,39,25,Indian,10,Easy,https://example.com/images/recipe_400.jpg
